U+5958	奘
U+595A	奚
U+5962	奢
U+5960	奠
U+5967	奧
U+596A	奪
U+5969	奩
U+596E	奮
U+5973	女
U+5974	奴
U+5976	奶
U+5984	妄
U+5978	奸
U+5983	妃
U+597D	好
U+5979	她
U+5982	如
U+5992	妒
U+59A8	妨
U+599E	妞
U+59A3	妣
U+598D	妍
U+59A4	妤
U+5993	妓
U+598A	妊
U+599D	妝
U+5999	妙
U+5996	妖
U+59A5	妥
U+59BE	妾
U+59BB	妻
U+59B9	妹
U+59AE	妮
U+59D1	姑
U+59D0	姐
U+59CD	姍
U+59AF	妯
U+59D2	姒
U+59D4	委
U+59C6	姆
U+59CB	始
U+59D3	姓
U+59CA	姊
U+59B3	妳
U+59DC	姜
U+59D8	姘
U+59FF	姿
U+59E3	姣
U+59E8	姨
U+5A03	娃
U+59E5	姥
U+59EA	姪
U+59FB	姻
U+59DA	姚
U+59E6	姦
U+5A01	威
U+5A11	娑
U+5A18	娘
U+5A23	娣
U+5A1C	娜
U+5A13	娓
U+59EC	姬
U+5A20	娠
U+5A1F	娟
U+5A1B	娛
U+5A0C	娌
U+5A29	娩
U+5A25	娥
U+5A49	婉
U+5A46	婆
U+5A4A	婊
U+5A66	婦
U+5A6A	婪
U+5A36	娶
U+5A40	婀
U+5A41	婁
U+5A3C	娼
U+5A62	婢
U+5A5A	婚
U+5A77	婷
U+5A9A	媚
U+5A7F	婿
U+5A92	媒
U+5AAA	媪
U+5A9B	媛
U+5AC2	嫂
U+5AC1	嫁
U+5AC9	嫉
U+5ACC	嫌
U+5ABE	媾
U+5ABD	媽
U+5AB3	媳
U+5AB2	媲
U+5AE1	嫡
U+5AE9	嫩
U+5AD7	嫗
U+5AD6	嫖
U+5AE3	嫣
U+5AE6	嫦
U+5AD8	嫘
U+5B09	嬉
U+5AFA,U+5AFB	嫺嫻
U+5B0B	嬋
U+5AF5	嫵
U+5B0C	嬌
U+5B34	嬴
U+5B1D	嬝
U+5B2A	嬪
U+5B24	嬤
U+5B30	嬰
U+5B38	嬸
U+5B40	孀
U+5B50	子
U+5B51	孑
U+5B53	孓
U+5B54	孔
U+5B55	孕
U+5B57	字
U+5B58	存
U+5B5D	孝
U+5B5C	孜
U+5B5A	孚
U+5B5F	孟
U+5B64	孤
U+5B63	季
U+5B69	孩
U+5B6B	孫
U+5B70	孰
U+5B73	孳
U+5B71	孱
U+5B75	孵
U+5B78	學
U+5B7A	孺
U+5B7D	孽
U+5B7F	孿
U+5B83	它
U+5B82	宂
U+5B87	宇
U+5B88	守
U+5B85	宅
U+5B89	安
U+5B8C	完
U+5B8B	宋
U+5B8F	宏
U+5B97	宗
U+5B9A	定
U+5B98	官
U+5B9C	宜
U+5B99	宙
U+5B9B	宛
U+5BA3	宣
U+5BA6	宦
U+5BA4	室
U+5BA5	宥
U+5BA2	客
U+5BB0	宰
U+5BB6	家
U+5BB4	宴
U+5BAE	宮
U+5BB5	宵
U+5BB3	害
U+5BB9	容
U+5BC6	密
U+5BC7	寇
U+5BC5	寅
U+5BC4	寄
U+5BC2	寂
U+5BBF	宿
U+5BD2	寒
U+5BCC	富
U+5BD3	寓
U+5BD0	寐
U+5BDE	寞
U+5BE7	寧
U+5BE1	寡
U+5BE5	寥
U+5BE8	寨
U+5BE6	實
U+5BE2	寢
U+5BE4	寤
U+5BDF	察
U+5BEE	寮
U+5BEC	寬
U+5BE9	審
U+5BEB	寫
U+5BF5	寵
U+5BF6	寶
U+5BF8	寸
U+5BFA	寺
U+5C01	封
U+5C04	射
U+5C09	尉
U+5C08	專
U+5C07	將
U+5C0A	尊
U+5C0B	尋
U+5C0D	對
U+5C0E	導
U+5C0F	小
U+5C11	少
U+5C16	尖
U+5C1A	尚
U+5C24	尤
U+5C2C	尬
U+5C31	就
U+5C37	尷
U+5C38	尸
U+5C3A	尺
U+5C3C	尼
U+5C40	局
U+5C41	屁
U+5C3F	尿
U+5C3E	尾
U+5C45	居
U+5C46	屆
U+5C48	屈
U+5C4E	屎
U+5C4F	屏
U+5C4D	屍
U+5C4B	屋
U+5C55	展
U+5C51	屑
U+5C50	屐
U+5C60	屠
U+5C5C	屜
U+5C62	屢
U+5C64	層
U+5C65	履
U+5C6C	屬
U+5C6F	屯
U+5C71	山
U+5C79	屹
U+5C90	岐
U+5C91	岑
U+5C94	岔
U+5C8C	岌
U+5CB7	岷
U+5CB8	岸
U+5CA9	岩
U+5CA1,U+5D17	岡崗
U+5CAB	岫
U+5CB1	岱
U+5CB3	岳
U+5CD9	峙
U+5CFD	峽
U+5CED	峭
U+5CFB	峻
U+5CEA	峪
U+5CE8,U+5CE9	峨峩
U+5CEF,U+5CF0	峯峰
U+5CF6	島
U+5D07	崇
U+5D06	崆
U+5D0E	崎
U+5D1B	崛
U+5D16	崖
U+5D11	崑
U+5D29	崩
U+5D22	崢
U+5D14	崔
U+5D19	崙
U+5D4C	嵌
U+5D50	嵐
U+5D69	嵩
